id,titulo,descricao,tema,classe_esperada,classe_produzida,status
116,Ausência de evento adverso prova segurança absoluta da vacina,"Como eventos adversos são monitorados, uma pessoa que não apresenta nenhum evento após a vacinação pode concluir que a vacina é totalmente livre de riscos para todos.",vacinas,ENGANOSA,ENGANOSA,ACERTO
117,Farmacovigilância impede todos os eventos adversos,"Como a farmacovigilância identifica e acompanha possíveis eventos adversos, esse monitoramento impede que qualquer evento adverso relacionado a vacinas aconteça.",vacinas,ENGANOSA,ENGANOSA,ACERTO
118,Aprovação da Anvisa significa eficácia de 100%,"Como a Anvisa considera dados de eficácia na avaliação regulatória, toda vacina aprovada possui necessariamente eficácia de 100%.",vacinas,ENGANOSA,ENGANOSA,ACERTO
119,Monitoramento contínuo indica que vacinas aprovadas são inseguras,"Como a segurança continua sendo acompanhada após a disponibilização, a necessidade de monitoramento prova que as vacinas aprovadas são inseguras.",vacinas,ENGANOSA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
120,Evento adverso após vacinação sempre foi causado pela vacina,"Como a farmacovigilância investiga eventos ocorridos após a vacinação, qualquer problema de saúde apresentado depois da aplicação necessariamente foi provocado pela vacina.",vacinas,ENGANOSA,ENGANOSA,ACERTO
121,Câncer é causado pelo crescimento ordenado das células,O câncer ocorre quando as células mantêm crescimento normal e perfeitamente ordenado nos tecidos.,cancer,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
122,Câncer não pode causar metástase,As células cancerígenas permanecem sempre no local de origem e não podem se espalhar para outros órgãos.,cancer,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
123,Tabagismo não é fator de risco para câncer,O consumo de tabaco não possui relação com fatores de risco para o desenvolvimento de câncer.,cancer,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
124,Obesidade não está relacionada ao risco de câncer,A obesidade não está entre os fatores de risco associados ao desenvolvimento de câncer.,cancer,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
125,Não existem medidas de prevenção contra o câncer,"Hábitos saudáveis, vacinação, rastreamento e diagnóstico precoce não fazem parte de nenhuma estratégia relacionada à prevenção do câncer.",cancer,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
126,Quimioterapia não é utilizada no tratamento do câncer,A quimioterapia não pode fazer parte do tratamento de pacientes com câncer.,cancer,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
127,Dengue não é causada por vírus,A dengue não é uma doença causada pelo vírus DENV.,dengue,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
128,Existe apenas um sorotipo do vírus da dengue,Somente um sorotipo do vírus da dengue é conhecido.,dengue,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
129,Aedes aegypti não participa da principal transmissão da dengue,A picada da fêmea infectada do Aedes aegypti não constitui a principal forma de transmissão da dengue.,dengue,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
130,Dengue sempre apresenta sintomas,Todas as pessoas infectadas pelo vírus da dengue obrigatoriamente apresentam manifestações clínicas.,dengue,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
131,Dengue não pode evoluir para formas graves,A dengue permanece sempre leve e não pode evoluir para quadros graves.,dengue,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
132,Combater o Aedes aegypti não ajuda a prevenir dengue,O controle do mosquito Aedes aegypti não possui importância como estratégia de prevenção e controle da dengue.,dengue,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
133,Água parada não tem relação com criadouros do Aedes,Eliminar locais que acumulam água não ajuda no combate aos criadouros do mosquito transmissor da dengue.,dengue,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
134,Diabetes não é uma doença crônica,O diabetes não pode ser classificado como uma doença crônica.,diabetes,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
135,Diabetes tipo 2 não está associado à resistência à insulina,A resistência insulínica não possui relação com o diabetes tipo 2.,diabetes,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
136,Obesidade não é fator de risco para diabetes tipo 2,A obesidade não está entre os fatores de risco relacionados ao diabetes tipo 2.,diabetes,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
137,Diabetes não pode causar insuficiência renal,A insuficiência renal não está entre as possíveis complicações do diabetes.,diabetes,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
138,Diabetes não causa complicações cardiovasculares,Doenças cardiovasculares não estão entre as possíveis complicações do diabetes.,diabetes,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
139,Atividade física não ajuda a prevenir diabetes tipo 2,A prática regular de atividade física não faz parte das medidas de prevenção do diabetes tipo 2.,diabetes,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
140,Alimentação saudável não participa da prevenção do diabetes tipo 2,Uma dieta saudável não possui relação com as medidas de prevenção do diabetes tipo 2.,diabetes,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
141,Hipertensão não envolve pressão sanguínea elevada,A hipertensão arterial não é caracterizada por níveis elevados de pressão sanguínea.,hipertensao,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
142,Hipertensão não aumenta o risco de AVC,A hipertensão arterial não está relacionada ao aumento do risco de acidente vascular cerebral.,hipertensao,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
143,Hipertensão não está associada à insuficiência renal,A insuficiência renal não está entre as possíveis complicações relacionadas à hipertensão.,hipertensao,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
144,Consumo elevado de sal não é fator de risco para hipertensão,Uma dieta rica em sal não está entre os fatores de risco relacionados à hipertensão arterial.,hipertensao,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
145,Sedentarismo não é fator de risco para hipertensão,A falta de atividade física não está entre os fatores de risco associados à hipertensão.,hipertensao,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
146,Atividade física não ajuda na prevenção da hipertensão,A prática regular de atividade física não faz parte das medidas de prevenção da hipertensão arterial.,hipertensao,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
147,Medicamentos essenciais não atendem necessidades prioritárias,Medicamentos essenciais não são definidos a partir das necessidades prioritárias de saúde da população.,medicamentos,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
148,Medicamentos essenciais não precisam estar disponíveis,Não existe recomendação de que medicamentos essenciais estejam disponíveis em quantidade suficiente para a população.,medicamentos,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
149,Preço acessível não é característica dos medicamentos essenciais,A acessibilidade de preço não faz parte das características esperadas para medicamentos essenciais.,medicamentos,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
150,Lista da OMS não serve de referência para políticas nacionais,A lista de medicamentos essenciais da OMS não é utilizada como referência para listas nacionais ou políticas de saúde.,medicamentos,CONTRADITA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
151,Uso racional não ajuda a reduzir efeitos adversos,O uso racional de medicamentos não possui importância para evitar efeitos adversos.,medicamentos,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
152,Uso racional não tem relação com resistência antimicrobiana,O uso racional de medicamentos não possui relação com a prevenção da resistência antimicrobiana.,medicamentos,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
153,Vacinas são disponibilizadas sem avaliação prévia,As vacinas podem ser disponibilizadas à população sem passar por processos de avaliação antes da aprovação.,vacinas,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
154,Anvisa não participa da avaliação de vacinas,A Anvisa não possui participação na avaliação regulatória e no registro de vacinas no Brasil.,vacinas,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
155,Segurança não é avaliada antes da aprovação de vacinas,Os dados de segurança não fazem parte do processo de avaliação regulatória das vacinas.,vacinas,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
156,Eficácia não é considerada na avaliação de vacinas,Informações relacionadas à eficácia não são consideradas durante a avaliação das vacinas.,vacinas,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
157,Vacinas deixam de ser monitoradas depois da aprovação,"Depois que uma vacina é disponibilizada à população, sua segurança deixa de ser monitorada.",vacinas,CONTRADITA PELAS EVIDÊNCIAS,CONTRADITA PELAS EVIDÊNCIAS,ACERTO
158,Farmacovigilância não acompanha eventos adversos de vacinas,A farmacovigilância não é utilizada para identificar ou avaliar possíveis eventos adversos relacionados às vacinas.,vacinas,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
159,Todo evento após vacinação prova causalidade,A ocorrência de qualquer problema de saúde depois de uma vacinação significa automaticamente que a vacina causou esse evento.,vacinas,CONTRADITA PELAS EVIDÊNCIAS,ENGANOSA,ERRO
160,Benefícios e riscos das vacinas não são acompanhados continuamente,"Depois da aprovação de uma vacina, não existe acompanhamento contínuo da relação entre seus benefícios e riscos.",vacinas,CONTRADITA PELAS EVIDÊNCIAS,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
161,Chá de camomila reduz o risco de câncer,Beber chá de camomila todas as noites reduz diretamente o risco de uma pessoa desenvolver câncer.,cancer,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
162,Dormir nove horas previne câncer,Dormir exatamente nove horas por noite reduz a probabilidade de desenvolver qualquer tipo de câncer.,cancer,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
163,Ouvir música ajuda na prevenção do câncer,Ouvir música durante pelo menos trinta minutos diariamente reduz o risco de desenvolver câncer.,cancer,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
164,Banho frio reduz o risco de câncer,Tomar banho frio diariamente ajuda a prevenir o desenvolvimento de câncer.,cancer,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
165,Horário das refeições altera o risco de câncer,Jantar depois das 22 horas aumenta diretamente o risco de uma pessoa desenvolver câncer.,cancer,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
166,Cor da roupa interfere no risco de câncer,Usar roupas de cores claras diariamente reduz o risco de desenvolvimento de câncer.,cancer,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
167,Música afasta o mosquito da dengue,Ouvir música em volume alto dentro de casa reduz a aproximação do Aedes aegypti e o risco de dengue.,dengue,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
168,Banho frio ajuda a prevenir dengue,Tomar banho frio todos os dias reduz a probabilidade de uma pessoa ser infectada pelo vírus da dengue.,dengue,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
169,Roupas azuis reduzem o risco de dengue,Vestir roupas azuis diminui a chance de uma pessoa ser picada pelo mosquito transmissor da dengue.,dengue,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
170,Dormir mais reduz o risco de dengue,Pessoas que dormem pelo menos nove horas por noite apresentam menor risco de contrair dengue.,dengue,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
171,Perfume cítrico reduz o risco de dengue,Usar perfume com aroma cítrico diariamente reduz a probabilidade de picadas do mosquito transmissor da dengue.,dengue,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
172,Horário das refeições influencia o risco de dengue,Fazer a última refeição antes das 18 horas reduz a chance de uma pessoa contrair dengue.,dengue,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
173,Ouvir música reduz a glicemia,Ouvir música durante trinta minutos diariamente reduz diretamente a glicemia de pessoas com diabetes.,diabetes,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
174,Chá de camomila controla o diabetes,Beber chá de camomila diariamente ajuda diretamente a controlar a glicemia de pessoas com diabetes.,diabetes,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
175,Banho frio reduz a glicemia,Tomar banho frio todas as manhãs reduz a glicemia de pessoas com diabetes.,diabetes,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
176,Dormir nove horas controla o diabetes,Dormir exatamente nove horas por noite melhora diretamente o controle da glicemia em pessoas com diabetes.,diabetes,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
177,Horário do café da manhã previne diabetes,Tomar café da manhã antes das sete horas reduz diretamente o risco de desenvolver diabetes tipo 2.,diabetes,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
178,Cor dos alimentos influencia a glicemia,Consumir alimentos predominantemente de cor verde reduz diretamente a glicemia de pessoas com diabetes.,diabetes,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
179,Música clássica reduz a pressão arterial permanentemente,Ouvir música clássica diariamente reduz de forma permanente a pressão arterial de pessoas com hipertensão.,hipertensao,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
180,Banho frio previne hipertensão,Tomar banho frio diariamente reduz o risco de uma pessoa desenvolver hipertensão arterial.,hipertensao,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
181,Dormir com dois travesseiros reduz a pressão,Dormir utilizando exatamente dois travesseiros ajuda a reduzir a pressão arterial de pessoas hipertensas.,hipertensao,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
182,Chá de camomila previne hipertensão,Beber chá de camomila todas as noites impede o desenvolvimento de hipertensão arterial.,hipertensao,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
183,Horário do banho influencia a pressão arterial,Tomar banho sempre antes das oito horas da manhã reduz o risco de desenvolver hipertensão.,hipertensao,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
184,Cor do quarto influencia a hipertensão,Dormir em um quarto com paredes azuis reduz diretamente o risco de hipertensão arterial.,hipertensao,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
185,Formato do comprimido determina sua eficácia,Medicamentos em comprimidos redondos são mais eficazes do que medicamentos equivalentes em comprimidos de outros formatos.,medicamentos,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
186,Cor da embalagem altera a eficácia do medicamento,Medicamentos vendidos em embalagens azuis apresentam maior eficácia do que os mesmos medicamentos em embalagens de outras cores.,medicamentos,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
187,Horário da compra influencia a eficácia do medicamento,Comprar um medicamento durante a manhã faz com que ele tenha maior eficácia do que quando comprado durante a noite.,medicamentos,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
188,Temperatura da água altera a eficácia de todos os comprimidos,Tomar qualquer comprimido com água gelada aumenta sua eficácia em comparação com água em temperatura ambiente.,medicamentos,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
189,Música durante o uso melhora o efeito dos medicamentos,Ouvir música durante a administração de um medicamento aumenta diretamente sua eficácia.,medicamentos,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
190,Cor do comprimido determina a duração do tratamento,Comprimidos brancos precisam ser utilizados por menos dias do que comprimidos de outras cores.,medicamentos,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
191,Ouvir música antes da vacina aumenta sua eficácia,Ouvir música durante trinta minutos antes da vacinação aumenta a eficácia da vacina.,vacinas,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
192,Tomar banho frio antes da vacina melhora a resposta vacinal,Tomar banho frio imediatamente antes de receber uma vacina aumenta a eficácia da vacinação.,vacinas,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
193,Cor da roupa interfere na resposta à vacina,Usar roupas azuis no momento da vacinação aumenta a resposta do organismo à vacina.,vacinas,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
194,Horário da vacinação determina a ocorrência de eventos adversos,Receber uma vacina antes das oito horas da manhã reduz a ocorrência de eventos adversos.,vacinas,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
195,Dormir nove horas antes da vacinação impede eventos adversos,Dormir exatamente nove horas na noite anterior à vacinação impede a ocorrência de eventos adversos.,vacinas,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
196,Beber água gelada melhora a eficácia das vacinas,Beber um copo de água gelada imediatamente após a vacinação aumenta a eficácia da vacina.,vacinas,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
197,Cor do ambiente interfere na vacinação,Receber uma vacina em uma sala com paredes verdes aumenta a resposta imunológica produzida pela vacinação.,vacinas,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
198,Música reduz eventos adversos após vacinação,Ouvir música durante a aplicação da vacina reduz a probabilidade de apresentar eventos adversos posteriormente.,vacinas,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
199,Dia da semana altera a eficácia da vacina,Vacinas aplicadas às segundas-feiras apresentam maior eficácia do que as mesmas vacinas aplicadas em outros dias da semana.,vacinas,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
200,Temperatura da bebida após vacinação altera sua eficácia,Consumir bebidas quentes imediatamente após receber uma vacina aumenta a proteção produzida pela vacinação.,vacinas,NÃO FOI POSSÍVEL VERIFICAR,NÃO FOI POSSÍVEL VERIFICAR,ACERTO
